State,Mari_12_17,Mari_18_25,Mari_26up,Mari_12up,Mari_18up,Coca_12_17,Coca_18_25,Coca_26up,Coca_12up,Coca_18up,Hero_12_17,Hero_18_25,Hero_26up,Hero_12up,Hero_18up
Total U.S.,3200,11200,21185,35584,32385,160,1740,2791,4690,4530,25,242,604,871,846
Northeast,560,2236,4201,6996,6436,27,372,640,1039,1011,5,60,194,260,254
Midwest,661,2390,4165,7216,6555,29,313,469,811,782,6,55,115,176,170
South,1123,3781,6685,11589,10466,53,560,943,1556,1502,7,72,176,255,248
West,856,2793,6134,9783,8926,50,495,740,1285,1235,7,54,120,181,174
Alabama,37,139,214,389,352,2,17,31,50,48,0,3,7,11,11
Alaska,11,34,82,127,116,0,4,7,12,11,0,1,6,7,7
Arizona,74,231,430,734,661,5,51,72,128,123,1,7,23,31,30
Arkansas,29,86,169,284,256,1,9,16,26,25,0,1,3,4,4
California,431,1459,3046,4936,4505,29,263,407,699,670,3,24,37,64,62
Colorado,76,266,691,1033,957,4,51,69,123,119,1,6,11,17,17
Connecticut,44,162,272,479,435,2,29,43,74,72,0,4,22,27,26
Delaware,9,37,57,103,94,0,6,11,17,17,0,1,7,8,8
District of Columbia,5,41,88,134,129,0,5,13,18,18,0,0,3,3,3
Florida,189,652,1311,2152,1964,9,117,199,325,316,1,12,25,38,37
Georgia,99,327,625,1052,953,4,43,95,143,138,0,4,8,12,12
Hawaii,13,38,95,147,133,1,7,14,22,21,0,1,2,3,2
Idaho,19,45,88,152,133,1,6,7,14,13,0,1,2,4,3
Illinois,118,444,777,1339,1221,6,67,121,194,187,1,9,25,36,35
Indiana,75,249,436,760,685,3,29,36,68,65,1,6,9,15,15
Iowa,23,98,114,235,212,1,13,13,27,26,0,2,2,3,3
Kansas,30,96,167,292,263,1,12,15,28,26,0,1,2,3,3
Kentucky,40,136,274,449,410,2,22,34,58,56,1,5,15,20,19
Louisiana,37,142,249,427,391,2,19,46,66,65,0,2,4,6,6
Maine,16,53,158,227,210,1,8,12,21,20,0,2,5,7,7
Maryland,66,244,447,757,692,2,23,50,75,73,1,7,36,44,43
Massachusetts,78,333,648,1058,980,3,57,81,142,139,0,5,8,13,13
Michigan,111,372,783,1266,1155,3,40,61,104,101,1,9,21,31,30
Minnesota,49,203,327,579,530,2,28,39,69,67,0,5,11,16,15
Mississippi,23,73,115,212,188,1,6,17,25,24,0,1,2,4,3
Missouri,61,215,407,683,622,2,27,39,68,66,0,4,8,12,12
Montana,11,37,84,133,122,0,5,7,13,12,0,1,1,1,1
Nebraska,15,64,86,166,150,1,8,12,21,20,0,1,2,3,3
Nevada,30,88,191,309,279,2,12,21,35,33,0,2,6,8,8
New Hampshire,16,60,123,199,183,1,15,19,35,34,0,3,4,7,7
New Jersey,87,293,515,894,808,4,41,84,129,125,1,12,39,51,50
New Mexico,25,71,157,253,228,1,13,18,33,32,0,1,2,3,3
New York,188,801,1530,2519,2331,10,140,274,425,414,2,17,68,87,86
North Carolina,89,332,554,975,886,4,54,90,148,144,0,6,10,16,16
North Dakota,6,28,27,61,55,0,4,3,7,7,0,0,1,1,1
Ohio,104,394,681,1179,1075,5,52,84,140,136,1,11,25,37,36
Oklahoma,37,119,202,358,321,2,15,18,35,34,0,2,4,7,7
Oregon,51,165,443,659,608,2,28,42,73,70,0,4,8,12,11
Pennsylvania,111,442,786,1339,1228,5,64,106,175,170,1,15,43,59,58
Rhode Island,12,57,101,170,158,1,10,12,23,22,0,1,2,4,4
South Carolina,44,166,298,507,464,2,23,41,66,64,0,3,8,11,11
South Dakota,7,26,41,75,67,0,3,4,7,7,0,1,1,2,2
Tennessee,57,189,360,606,549,3,30,51,83,81,0,4,9,14,14
Texas,276,771,1166,2213,1937,16,128,166,310,294,1,12,12,25,24
Utah,26,81,104,211,185,1,10,9,20,19,0,2,3,5,5
Vermont,7,36,68,111,104,0,7,7,15,14,0,1,3,4,4
Virginia,71,270,455,796,725,3,31,51,85,82,1,7,17,25,24
Washington,83,261,693,1037,954,4,40,65,109,105,1,6,17,24,23
West Virginia,16,57,101,174,158,1,10,13,24,23,0,2,4,6,5
Wisconsin,63,201,320,584,521,3,31,43,77,74,1,6,9,15,15
Wyoming,6,17,29,52,46,0,2,3,5,5,0,0,1,2,2
